projects_completed,tenure_months,portfolio_strength,on_time_delivery_percent,avg_client_rating,rating_trajectory,dispute_rate,project_category,project_success_score,project_price_inr
39,44,0.85,0.96,4.59,-0.04,0.057,Graphic Design,70.96,373451
42,57,0.81,0.85,4.14,0.25,0.094,Graphic Design,61.91,337363
30,34,0.94,0.82,3.63,0.3,0.15,UI/UX Design,50.72,250916
18,20,0.62,0.93,4.76,-0.09,0.042,UI/UX Design,62.02,252504
39,48,0.95,0.78,3.8,0.21,0.142,UI/UX Design,50.65,350683
6,13,0.95,0.74,3.84,0.24,0.124,Mobile Development,38.52,190478
19,26,0.72,0.71,3.5,0.13,0.15,Web Development,14.96,165425
35,44,0.55,0.7,3.5,0.29,0.15,Graphic Design,17.61,173983
27,24,0.86,0.86,4.26,0.05,0.074,UI/UX Design,60.76,325397
27,28,0.67,0.77,3.73,0.07,0.112,Web Development,26.25,216277
21,16,0.9,0.92,4.23,-0.04,0.074,Web Development,57.57,302791
23,16,0.58,0.88,4.26,-0.07,0.071,Web Development,38.33,213358
28,29,0.77,0.86,4.0,0.04,0.118,Web Development,44.51,267502
49,58,0.75,0.81,3.83,0.29,0.113,Mobile Development,51.13,307264
30,41,0.55,0.94,4.42,0.12,0.09,Graphic Design,59.1,247288
48,45,0.68,0.91,4.4,-0.04,0.093,Web Development,58.04,340469
19,29,0.54,0.76,3.67,0.14,0.131,UI/UX Design,17.98,120037
11,8,0.73,0.85,3.96,0.26,0.101,UI/UX Design,47.46,161914
29,27,0.92,0.76,3.81,0.1,0.126,Mobile Development,41.25,267806
50,58,0.64,0.79,3.98,0.13,0.125,Mobile Development,40.5,299767
5,7,0.88,1.0,4.59,-0.18,0.07,Graphic Design,65.39,256481
24,29,0.59,0.75,3.73,0.1,0.113,Web Development,24.12,170319
37,49,0.84,0.92,4.56,0.06,0.046,Mobile Development,68.0,390965
21,35,0.96,0.79,3.92,0.26,0.101,Mobile Development,43.47,292872
37,43,0.66,0.97,4.5,-0.17,0.063,UI/UX Design,65.26,321383
6,7,0.95,0.81,4.03,0.24,0.109,Mobile Development,48.79,228914
32,26,0.75,0.8,3.95,0.2,0.127,UI/UX Design,42.7,259839
36,38,0.66,0.87,4.26,-0.12,0.075,Graphic Design,45.52,301359
17,17,0.95,0.9,4.36,-0.1,0.068,Graphic Design,60.9,289562
22,27,0.52,0.85,3.85,0.16,0.137,UI/UX Design,36.87,161151
42,49,0.51,0.85,4.12,0.18,0.118,UI/UX Design,47.22,282751
26,30,0.8,0.8,4.07,0.29,0.106,Graphic Design,49.99,251846
45,54,0.9,0.85,4.34,0.08,0.094,Web Development,60.74,382757
38,32,0.88,0.89,4.48,-0.13,0.066,UI/UX Design,59.29,352207
34,47,0.54,0.88,4.29,0.11,0.105,Mobile Development,41.66,223114
28,33,0.98,0.8,4.03,0.25,0.124,Graphic Design,47.17,319183
24,21,0.85,0.92,4.54,-0.02,0.081,Mobile Development,56.32,326241
17,20,0.97,1.0,4.76,0.06,0.029,Graphic Design,81.66,353432
50,52,0.66,0.92,4.62,-0.09,0.061,UI/UX Design,65.66,367025
50,56,0.85,0.73,3.55,0.06,0.127,UI/UX Design,33.03,339600
38,49,0.93,0.86,4.17,0.04,0.103,UI/UX Design,51.62,378283
50,60,0.69,0.82,4.18,0.02,0.083,UI/UX Design,46.89,359947
44,57,0.98,0.82,3.9,0.1,0.124,UI/UX Design,52.24,353281
7,8,0.63,0.84,3.89,0.21,0.103,Graphic Design,34.21,121240
35,42,0.66,0.82,3.89,0.27,0.129,Mobile Development,42.86,248602
50,56,0.96,0.72,3.67,0.1,0.146,Web Development,36.96,361845
